CID,Vegetation,Surface_Temperature___C_
1,0.4121718,35.0048103
1,0.4613117,36.0115738
1,0.4600882,35.8099136
1,0.4743682,32.9968796
1,0.4087044,34.0462112
1,0.4546006,33.0208054
1,0.4121193,35.1878281
1,0.3905279,32.0740128
1,0.3958859,36.8729172
1,0.4459327,34.6785507
1,0.4605477,35.4476089
1,0.4124098,43.8696060
1,0.3018218,45.8759842
1,0.4298243,37.8983231
1,0.2934326,43.4970474
1,0.3962136,33.3762894
1,0.3203131,41.0018845
1,0.1148902,52.1993179
1,0.4234424,37.6009598
1,0.2242728,45.8110428
1,0.1037573,46.0263748
1,0.3230726,36.5345383
1,0.3439350,26.6872177
1,0.4027143,32.6277390
1,0.4359235,33.8445511
1,0.2085590,44.6728439
1,0.1243777,47.5234756
1,0.3945150,39.4125137
1,0.4185791,32.2346725
1,0.3772565,32.8499069
1,0.1988575,45.5683670
1,0.1497426,32.0995026
1,0.3422544,33.8855667
1,0.3161965,38.0692215
1,0.3954838,35.9979019
1,0.1434502,47.9404678
1,0.3695601,31.1750870
1,0.4064187,38.2333755
1,0.0778137,45.0467834
1,0.4237118,32.0193253
1,0.4108094,39.5218887
1,0.5050648,34.2444687
1,0.4559731,31.9202042
1,0.2829511,38.7938461
1,0.3688239,33.1917191
1,0.4024576,36.4589119
1,0.4351416,32.6926804
1,0.0857973,49.8989944
1,0.4280004,33.2019730
1,0.4545825,31.6980362
1,0.4462062,32.4192429
1,0.2657761,39.4706192
1,0.4043087,33.6018753
1,0.4610218,33.7761917
1,0.3212241,40.8070602
1,0.4140369,33.7727737
1,0.4115258,38.0145340
1,0.3610146,31.8962784
1,0.4086932,34.3640976
1,0.3445112,38.7220688
1,0.1097307,45.4043045
1,0.4269494,34.3401718
1,0.4650131,33.5813675
1,0.3680525,37.7342606
1,0.2978345,47.5644913
1,0.0750657,44.4746017
1,0.3254139,37.1702805
1,0.3964840,35.9773941
1,0.4361753,34.9808235
1,0.4295311,32.0774307
1,0.0281896,38.3666000
1,0.3809292,36.0184097
1,0.4113506,32.3850632
1,0.3635522,42.3725204
1,0.4181679,32.0193253
1,0.2245513,45.8486404
1,0.4657796,36.9175301
1,0.2735479,41.5419388
1,0.5526112,32.4397507
1,0.3016344,50.0254593
1,0.3903140,34.9314804
1,0.0985435,47.0210190
1,0.4269488,37.7205887
1,0.4775539,33.6941605
1,0.3752261,32.7542038
1,0.0219821,44.8813400
1,0.2914981,36.4354172
1,0.3191489,29.4011307
1,0.1608942,43.5575523
1,0.3207863,50.0288773
1,0.4444093,35.8748550
1,0.4760774,31.9543839
1,0.4312304,34.1966171
1,0.3962223,36.5140305
1,0.3748288,35.8475113
1,0.4149333,37.0164719
1,0.3528030,35.7176285
1,0.2672488,38.3324203
1,0.2577442,25.3063431
1,0.4758988,33.4070511
1,0.3762113,33.8684769
1,0.2886902,37.4328804
1,0.3840316,33.5403519
1,0.2086778,46.5459213
1,0.2126962,46.8396454
1,0.3491731,36.2405930
1,0.4378771,35.1092148
1,0.1972528,43.8730240
1,0.4372313,32.5081100
1,0.4911856,32.9934616
1,0.4034311,34.1214066
1,0.3713761,35.1809921
1,0.1294914,46.0708084
1,0.3684173,27.4084244
1,0.4532713,35.0203476
1,0.3206370,38.3529282
1,0.3567465,34.6477890
1,0.4674945,34.8802109
1,0.4662461,33.1541061
1,0.0393936,46.2075272
1,0.3737420,35.3860855
1,0.3754086,36.6302414
1,0.4040019,33.1609421
1,0.4239061,33.2498245
1,0.4131488,32.0432510
1,0.3549445,31.1374893
1,0.0604054,44.4335861
1,0.3272628,50.6543808
1,0.4102629,35.3279800
1,0.0354223,38.1409988
1,0.1802156,38.6036339
1,0.0730923,38.8041000
1,0.3894506,33.6018753
1,0.4716402,33.0208054
1,0.3127648,42.8407822
1,0.4630774,34.4461288
1,0.4461454,35.2186050
1,0.3515464,34.6512070
1,0.3267982,41.1180954
1,0.2918012,35.8372574
1,0.4335150,31.6228409
1,0.4035822,32.6345749
1,0.4847781,39.0433578
1,0.4615563,33.4856644
1,0.3840079,34.4666367
1,0.4023675,34.1214066
1,0.0380355,51.9087906
1,0.3446918,42.6767197
1,0.4230478,33.1575241
1,0.3689923,36.6780930
1,0.4589430,33.5779495
1,0.3824794,34.6033554
1,0.1859076,44.8799324
1,0.1159351,39.1238785
1,0.2952991,41.9589310
1,0.4085370,36.8216476
1,0.3068388,39.7679825
1,0.3342558,35.5433121
1,0.1763674,39.9901505
1,0.4681422,32.7302780
1,0.1492335,45.3051682
1,0.4234410,33.5335159
1,0.4046322,33.4138870
1,0.0570621,43.3742180
1,0.3806775,37.8128738
1,0.1876760,46.0287514
1,0.3239025,36.8592453
1,0.4115275,32.0569229
1,0.4136834,36.5311203
1,0.4498590,44.5175667
1,0.3090127,35.8987808
1,0.3942547,34.7434921
1,0.3116057,21.6934891
1,0.3816158,35.0408554
1,-0.0248598,33.9163284
1,0.4761356,34.1829453
1,0.3802376,32.5046921
1,0.3399633,36.8729172
1,0.3425452,41.9110794
1,0.4374242,38.6161118
1,0.4734124,37.7000809
1,0.2732354,41.2487297
1,0.2711838,34.0872269
1,0.1933565,36.7293625
1,0.4042962,32.8157272
1,0.2678335,36.4866867
1,0.4529303,34.9827499
1,0.5252514,33.1028366
1,0.2334190,43.0833817
1,0.3901399,33.9573441
1,0.4954306,37.5565262
1,0.3314731,38.8622055
1,0.3302037,39.5731583
1,0.3493548,34.0427933
1,0.3765987,36.7908859
1,0.1301131,43.9037857
1,0.1434772,46.4604721
1,0.4800595,38.1136551
1,0.4148318,36.1893082
1,0.3552861,27.1008072
1,0.2375094,42.6117783
1,0.4577828,35.3651962
1,0.2225055,25.4601517
1,0.4944865,33.3147659
1,0.2033332,33.9129105
1,0.3839669,32.7029343
1,0.4239906,35.1263046
1,0.3437071,40.8603897
1,0.3625762,39.6756973
1,0.4988814,33.7864456
1,0.3805794,31.9748917
1,0.4905191,32.6311569
1,0.4679267,34.8152695
1,0.3585227,35.7449722
1,0.3603539,33.6360550
1,0.4403615,33.9470901
1,0.3784768,38.4041977
1,0.4413716,33.8206253
1,0.4244565,35.7654800
1,0.4799974,31.8210831
1,0.3815061,34.0427933
1,0.3959608,41.4667435
1,0.3484344,34.8084335
1,0.4609539,32.7644577
1,0.2471995,36.4730148
1,0.3305966,37.7205887
1,0.3697937,37.5360184
1,0.4735640,33.5130081
1,0.3890481,34.1453323
1,0.4203830,35.8953629
1,0.1524412,35.9979019
1,0.1744766,42.5092392
1,0.0899032,45.5343018
1,0.1055855,49.9946976
1,0.4344137,31.6604385
1,0.3949217,33.7044144
1,0.4364598,30.9802475
1,0.0845798,41.6889114
1,0.3497198,39.1527328
1,0.4341395,34.2513046
1,0.4098712,33.3523636
1,0.2477186,42.3588486
1,0.1555125,43.9462929
1,0.2645669,40.4242477
1,0.3840344,37.0267258
1,0.1105522,46.3579178
1,0.3016861,38.3871078
1,0.4566122,35.6766129
1,0.4272554,41.1556931
1,0.4245347,33.7513161
1,0.3796760,33.5574417
1,0.3429843,39.4056778
1,0.4424070,34.8152695
1,0.3904052,33.8342972
1,0.4454867,36.5584641
1,0.4220321,32.4773483
1,0.1442464,42.8168564
1,0.3364728,34.8699570
1,0.3721301,35.6561050
1,0.4419174,32.2620163
1,0.1988802,27.9279556
1,0.4777640,33.1438522
1,0.1047328,46.9150620
1,0.0412694,47.2097282
1,0.2263637,28.7448654
1,0.4040551,29.5173416
1,0.4687378,33.2019730
1,0.0936310,43.5756607
1,0.4157928,34.3299179
1,0.4003876,35.7962418
1,0.4357321,34.3025742
1,0.3492796,34.6204453
1,0.2298124,38.9613266
1,0.4603750,33.2805862
1,0.3488885,34.3777695
1,0.4247340,34.5760117
1,0.4122977,38.5306625
1,0.4571495,33.1233444
1,0.3911360,35.0989609
1,0.4325926,37.9222488
1,0.2552211,37.6522293
1,0.3850644,35.3587418
1,0.3929569,32.5833054
1,0.1716725,39.6654434
1,0.3730177,34.6546249
1,0.4623989,35.4646988
1,0.3697201,34.8631210
1,0.3806140,40.2157364
1,0.1311966,37.3579788
1,0.4158626,39.7611465
1,0.4231718,41.6615677
1,0.4222726,33.8035355
1,0.4733883,34.0291214
1,0.3782335,35.1433945
1,0.3965940,34.9348984
1,0.4466839,34.3367538
1,0.4431584,36.1004410
1,0.4002219,34.7893867
1,0.3110949,33.9983597
1,0.3304844,36.7498703
1,0.1147906,45.9306717
1,0.4507541,31.6296768
1,0.4401030,33.9983597
1,0.3880360,37.7205887
1,0.3108071,30.5940170
1,0.4206587,36.3328781
1,0.4477947,32.8943405
1,0.2893433,25.9831009
1,0.3986605,35.2664566
1,0.4322258,33.7009964
1,0.3789606,42.5229111
1,0.3565907,34.1829453
1,0.3794198,36.8924026
1,0.3845575,36.5037766
1,0.3997361,33.1883011
1,0.4482209,33.8172073
1,0.2174776,45.3632736
1,0.2387172,44.8027267
1,0.4788650,32.3679733
1,0.1684883,44.8095627
1,0.3740764,38.3380280
1,0.3928789,36.2235031
1,0.1795744,41.5385208
1,0.4575549,32.2961960
1,0.4158441,33.5779495
1,0.3920998,34.4085312
1,0.1689368,43.7807388
1,0.4860192,32.3406296
1,0.2873472,41.9418411
1,0.4733811,31.9919815
1,0.3548019,37.9461746
1,0.1042922,42.4174843
1,0.2675996,39.7201309
1,0.4519311,33.3027687
1,0.4477844,34.8186874
1,0.3304151,35.8885269
1,0.4285119,37.3309402
1,0.3977189,34.6306992
1,0.1563891,45.4111404
1,0.2910840,42.8066025
1,0.2806788,25.5797806
1,0.4518356,34.2718124
1,0.3865249,34.1487503
1,0.0920360,44.4814377
1,0.3926039,39.6244278
1,0.0575193,45.3666916
1,0.4011702,36.5311203
1,0.4931524,33.4309769
1,0.4138879,33.5300980
1,0.4002730,37.7752762
1,0.0721790,47.3481293
1,0.3755168,42.6237984
1,0.4270587,33.6360550
1,0.4358733,35.6971207
